title,author,rating,votes,year,times.shelved,genre,adapt,rating.adapt,votes.adapt,year.adapt,type.adapt
Me Before You,Jojo Moyes,4.26,1104632,2012,7090,Romance,Yes,7.4,197491,2016,Movie
The Notebook,Nicholas Sparks,4.1,1300333,1996,6942,Romance,Yes,7.8,503993,2004,Movie
Eleanor & Park,Rainbow Rowell,4.07,831726,2012,6924,Romance,No,NA,NA,NA,NA
Jane Eyre,Charlotte Brontë,4.12,1583972,1847,6330,Romance,Yes,7.3,79119,2011,Movie
Fifty Shades Darker,E.L. James,3.85,727633,2011,6158,Romance,Yes,4.6,88607,2017,Movie
The Selection,Kiera Cass,4.14,844613,2012,5898,Romance,No,NA,NA,NA,NA
The Kiss Quotient,Helen Hoang,3.89,122903,2018,5794,Romance,No,NA,NA,NA,NA
Fifty Shades Freed,E.L. James,3.85,697570,2012,5496,Romance,Yes,4.5,52316,2018,Movie
Beautiful Disaster,Jamie McGuire,4.1,534770,2011,5445,Romance,No,NA,NA,NA,NA
Anna and the French Kiss,Stephanie Perkins,4.01,356675,2010,5286,Romance,No,NA,NA,NA,NA
Fangirl,Rainbow Rowell,4.06,553598,2013,5183,Romance,No,NA,NA,NA,NA
The Time Traveler's Wife,Audrey Niffenegger,3.97,1545662,2003,5172,Romance,Yes,7.1,137860,2009,Movie
"Red, White & Royal Blue",Casey McQuiston,4.25,129645,2019,5097,Romance,No,NA,NA,NA,NA
Romeo and Juliet,William Shakespeare,3.75,2013393,1595,5091,Romance,No,NA,NA,NA,NA
The Hating Game,Sally  Thorne,4.15,126155,2016,5074,Romance,Yes,7.6,28717,1968,Movie
To All the Boys I've Loved Before,Jenny Han,4.16,454391,2014,5018,Romance,Yes,7.2,79931,2018,Movie
A Walk to Remember,Nicholas Sparks,4.18,658167,1999,4911,Romance,Yes,7.4,195523,2002,Movie
Wuthering Heights,Emily Brontë,3.86,1307051,1847,4740,Romance,Yes,6,9096,2011,Movie
Sense and Sensibility,Jane Austen,4.07,936068,1811,4656,Romance,Yes,7.6,98661,1995,Movie
A Court of Thorns and Roses,Sarah J. Maas,4.24,426384,2015,4481,Romance,No,NA,NA,NA,NA
The Elite,Kiera Cass,4.02,399169,2013,4226,Romance,No,NA,NA,NA,NA
Emma,Jane Austen,4.01,631122,1815,4107,Romance,Yes,6.7,17441,2020,Movie
Bared to You,Sylvia Day,4.18,446693,2012,3991,Romance,No,NA,NA,NA,NA
Persuasion,Jane Austen,4.14,510329,1818,3949,Romance,Yes,7.5,13675,2007,TV
Divergent,Veronica Roth,4.2,2825067,2011,3946,Romance,Yes,6.7,416461,2014,Movie
City of Bones,Cassandra Clare,4.1,1575791,2007,3937,Romance,Yes,5.9,125652,2013,Movie
The One,Kiera Cass,4.2,357147,2014,3885,Romance,No,NA,NA,NA,NA
Dark Lover,J.R. Ward,4.19,282889,2005,3859,Romance,No,NA,NA,NA,NA
The Hunger Games,Suzanne Collins,4.33,6218511,2008,3803,Romance,Yes,7.2,826629,2012,Movie
The Night Circus,Erin Morgenstern,4.04,656319,2011,3664,Romance,No,NA,NA,NA,NA
The Unhoneymooners,Christina Lauren,3.99,94450,2019,3620,Romance,No,NA,NA,NA,NA
Wallbanger,Alice Clayton,4.06,172012,2012,3617,Romance,No,NA,NA,NA,NA
Easy,Tammara Webber,4.09,212856,2012,3471,Romance,No,NA,NA,NA,NA
The Rosie Project,Graeme Simsion,4.02,433537,2013,3398,Romance,No,NA,NA,NA,NA
If I Stay,Gayle Forman,3.95,697173,2009,3394,Romance,Yes,6.7,113227,2014,Movie
A Court of Mist and Fury,Sarah J. Maas,4.65,297146,2016,3376,Romance,No,NA,NA,NA,NA
Hopeless,Colleen Hoover,4.3,259999,2012,3365,Romance,Yes,6.3,135471,2010,Movie
Dear John,Nicholas Sparks,4.04,531309,2006,3365,Romance,No,NA,NA,NA,NA
Dragonfly in Amber,Diana Gabaldon,4.32,278592,1992,3337,Romance,Yes,8.9,33668,2016,TV
Simon vs. the Homo Sapiens Agenda,Becky Albertalli,4.3,269800,2015,3305,Romance,Yes,7.6,93246,2018,Movie
Matched,Ally Condie,3.66,638060,2010,3283,Romance,No,NA,NA,NA,NA
"Everything, Everything",Nicola Yoon,4.06,355087,2015,3262,Romance,Yes,6.4,31105,2017,Movie
Ender's Game,Orson Scott Card,4.3,1101797,1985,15346,Science Fiction,Yes,6.6,219387,2013,Movie
The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,1389125,1979,13921,Science Fiction,Yes,6.8,183532,2005,Movie
Dune,Frank Herbert,4.23,717948,1965,12772,Science Fiction,Yes,6.5,120233,1984,Movie
The Martian,Andy Weir,4.4,787976,2012,12009,Science Fiction,Yes,8,735116,2015,Movie
Ready Player One,Ernest Cline,4.26,826432,2011,10602,Science Fiction,Yes,7.5,348885,2018,Movie
Fahrenheit 451,Ray Bradbury,3.99,1621204,1953,10444,Science Fiction,Yes,4.9,16603,2018,Movie
The Hunger Games,Suzanne Collins,4.33,6218511,2008,10306,Science Fiction,Yes,7.2,826629,2012,Movie
1984,George Orwell,4.18,3019636,1949,10014,Science Fiction,Yes,7.1,64127,1984,Movie
Brave New World,Aldous Huxley,3.99,1399633,1932,9029,Science Fiction,Yes,5.2,1852,1998,TV
Foundation,Isaac Asimov,4.17,394904,1951,8496,Science Fiction,Yes,NA,NA,2021,TV
Catching Fire,Suzanne Collins,4.29,2429943,2009,8105,Science Fiction,Yes,7.5,600197,2013,Movie
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.08,333557,1968,8046,Science Fiction,Yes,8.1,673320,1982,Movie
Mockingjay,Suzanne Collins,4.04,2277865,2010,7589,Science Fiction,Yes,6.55,676831,2014,Movie
The Time Machine,H.G. Wells,3.89,399541,1895,6690,Science Fiction,Yes,7.6,35183,1960,Movie
Neuromancer,William Gibson,3.9,255774,1984,6466,Science Fiction,No,NA,NA,NA,NA
"I, Robot",Isaac Asimov,4.2,267541,1950,6211,Science Fiction,Yes,7.1,488420,2004,Movie
Divergent,Veronica Roth,4.2,2825067,2011,5707,Science Fiction,Yes,6.7,416461,2014,Movie
Stranger in a Strange Land,Robert A. Heinlein,3.92,270246,1961,5613,Science Fiction,No,NA,NA,NA,NA
The Handmaid's Tale,Margaret Atwood,4.11,1401127,1985,5557,Science Fiction,Yes,6,8400,1990,Movie
Jurassic Park,Michael Crichton,4.03,785221,1990,5500,Science Fiction,Yes,8.1,837083,1993,Movie
The Restaurant at the End of the Universe,Douglas Adams,4.21,226488,1980,5494,Science Fiction,No,NA,NA,NA,NA
2001: A Space Odyssey,Arthur C. Clarke,4.15,250936,1968,5441,Science Fiction,Yes,8.3,582919,1968,Movie
Leviathan Wakes,James S.A. Corey,4.26,159180,2011,5421,Science Fiction,Yes,8.5,93123,2015,TV
The War of the Worlds,H.G. Wells,3.82,237494,1898,5376,Science Fiction,Yes,6.5,406794,2005,Movie
Speaker for the Dead,Orson Scott Card,4.07,219262,1986,5368,Science Fiction,No,NA,NA,NA,NA
Cinder,Marissa Meyer,4.14,654935,2012,5293,Science Fiction,No,NA,NA,NA,NA
The Martian Chronicles,Ray Bradbury,4.14,204041,1949,5254,Science Fiction,Yes,6.5,2040,1980,TV
Hyperion,Dan Simmons,4.24,178502,1989,5160,Science Fiction,No,NA,NA,NA,NA
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.07,1104239,1969,5153,Science Fiction,Yes,6.9,11859,1972,Movie
The Left Hand of Darkness,Ursula K. Le Guin,4.07,114856,1969,4969,Science Fiction,No,NA,NA,NA,NA
Snow Crash,Neal Stephenson,4.02,231810,1992,4886,Science Fiction,No,NA,NA,NA,NA
The Giver,Lois Lowry,4.13,1727879,1993,4867,Science Fiction,Yes,6.5,109757,2014,Movie
A Wrinkle in Time,Madeleine L'Engle,4,1031239,1962,4837,Science Fiction,Yes,4.2,39462,2018,Movie
Old Man's War,John Scalzi,4.23,153206,2005,4835,Science Fiction,No,NA,NA,NA,NA
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.8,1131460,1818,4632,Science Fiction,Yes,6.4,50012,1994,Movie
Foundation and Empire,Isaac Asimov,4.22,149008,1952,4603,Science Fiction,Yes,NA,NA,2021,TV
Red Rising,Pierce Brown,4.26,231349,2014,4480,Science Fiction,No,NA,NA,NA,NA
"Life, the Universe and Everything",Douglas Adams,4.2,191475,1982,4476,Science Fiction,No,NA,NA,NA,NA
The Three-Body Problem,Liu Cixin,4.06,133459,2006,4454,Science Fiction,No,NA,NA,NA,NA
Starship Troopers,Robert A. Heinlein,4.01,185451,1959,4352,Science Fiction,Yes,7.2,262501,1997,Movie
The Forever War,Joe Haldeman,4.15,134211,1974,4264,Science Fiction,No,NA,NA,NA,NA
Second Foundation,Isaac Asimov,4.26,138423,1953,4260,Science Fiction,Yes,NA,NA,2021,TV
Dark Matter,Blake Crouch,4.1,239303,2016,4221,Science Fiction,No,NA,NA,NA,NA
The Maze Runner,James Dashner,4.02,1014101,2009,4164,Science Fiction,Yes,6.8,406628,2014,Movie
Dune Messiah,Frank Herbert,3.89,125232,1969,4119,Science Fiction,Yes,7.5,11709,2003,TV
The Man in the High Castle,Philip K. Dick,3.61,166108,1962,4028,Science Fiction,Yes,8,80862,2015,TV
Childhood's End,Arthur C. Clarke,4.11,125028,1953,4002,Science Fiction,Yes,6.9,10802,2015,TV
The Host,Stephenie Meyer,3.84,876976,2008,4002,Science Fiction,Yes,5.9,109149,2013,Movie
Rendezvous with Rama,Arthur C. Clarke,4.1,129712,1973,3911,Science Fiction,No,NA,NA,NA,NA
Ancillary Justice,Ann Leckie,3.98,76938,2013,3910,Science Fiction,No,NA,NA,NA,NA
The Girl on the Train,Paula Hawkins,3.92,2030573,2015,7003,Thriller,Yes,6.5,163662,2016,Movie
Gone Girl,Gillian Flynn,4.07,2259214,2012,6840,Thriller,Yes,8.1,825586,2014,Movie
The Da Vinci Code,Dan Brown,3.85,1885414,2003,6787,Thriller,Yes,6.6,390738,2006,Movie
Angels & Demons,Dan Brown,3.9,2613161,2000,5834,Thriller,Yes,6.7,266371,2009,Movie
The Girl Who Played with Fire,Stieg Larsson,4.24,793401,2006,4241,Thriller,Yes,7.2,89088,2009,Movie
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,4.22,631737,2007,3718,Thriller,Yes,7.3,66442,2009,Movie
Sharp Objects,Gillian Flynn,3.97,643678,2006,3655,Thriller,Yes,8.2,62251,2018,TV
The Lost Symbol,Dan Brown,3.71,507853,2009,3452,Thriller,No,NA,NA,NA,NA
Dark Places,Gillian Flynn,3.94,556814,2009,3178,Thriller,Yes,6.2,40762,2015,Movie
Inferno,Dan Brown,3.85,455841,2013,3017,Thriller,Yes,6.2,152547,2016,Movie
The Woman in the Window,A.J. Finn,3.94,410427,2018,3001,Thriller,Yes,NA,NA,NA,Movie
Digital Fortress,Dan Brown,3.66,549700,1998,2852,Thriller,No,NA,NA,NA,NA
Deception Point,Dan Brown,3.71,580436,2001,2849,Thriller,No,NA,NA,NA,NA
The Silent Patient,Alex Michaelides,4.09,406353,2019,2817,Thriller,No,NA,NA,NA,NA
The Silence of the Lambs,Thomas  Harris,4.2,450493,1988,2338,Thriller,Yes,8.6,1223657,1991,Movie
Before I Go to Sleep,S.J. Watson,3.89,280736,2011,2216,Thriller,Yes,6.3,69364,2014,Movie
Dark Matter,Blake Crouch,4.1,239303,2016,2186,Thriller,No,NA,NA,NA,NA
The Bourne Identity,Robert Ludlum,4.02,389345,1980,2076,Thriller,Yes,7.9,496274,2002,Movie
Killing Floor,Lee Child,4.05,239699,1997,2068,Thriller,No,NA,NA,NA,NA
The Woman in Cabin 10,Ruth Ware,3.7,347453,2016,2046,Thriller,No,NA,NA,NA,NA
You,Caroline Kepnes,3.9,139710,2014,2042,Thriller,Yes,7.8,126431,2018,TV
Red Dragon,Thomas  Harris,4.03,264283,1981,2042,Thriller,Yes,7.2,244298,2002,Movie
Jurassic Park,Michael Crichton,4.03,785221,1990,2039,Thriller,Yes,8.1,837083,1993,Movie
The Shining,Stephen King,4.23,1089256,1977,2002,Thriller,Yes,8.4,860493,1980,Movie
Behind Closed Doors,B.A. Paris,3.95,280917,2016,1948,Thriller,No,NA,NA,NA,NA
And Then There Were None,Agatha Christie,4.26,775425,1939,1941,Thriller,Yes,8,30267,2015,TV
Mr. Mercedes,Stephen King,3.97,227344,2014,1709,Thriller,Yes,7.9,14722,2017,TV
Into the Water,Paula Hawkins,3.57,263580,2017,1664,Thriller,No,NA,NA,NA,NA
The Hunt for Red October,Tom Clancy,4.07,329602,1984,1650,Thriller,Yes,7.6,173685,1990,Movie
Origin,Dan Brown,3.86,243702,2017,1612,Thriller,No,NA,NA,NA,NA
Misery,Stephen King,4.17,479580,1987,1584,Thriller,Yes,7.8,177643,1990,Movie
Shutter Island,Dennis Lehane,4.09,155695,2003,1582,Thriller,Yes,8.1,1086710,2010,Movie
Pretty Girls,Karin Slaughter,3.99,164977,2015,1534,Thriller,No,NA,NA,NA,NA
The Couple Next Door,Shari Lapena,3.78,309713,2016,1511,Thriller,No,NA,NA,NA,NA
"In a Dark, Dark Wood",Ruth Ware,3.7,208766,2015,1495,Thriller,No,NA,NA,NA,NA
In the Woods,Tana French,3.77,292123,2007,1483,Thriller,Yes,7.1,4854,2019,TV
The Wife Between Us,Greer Hendricks,3.84,205329,2018,1416,Thriller,No,NA,NA,NA,NA
Final Girls,Riley Sager,3.81,68380,2017,1397,Thriller,No,NA,NA,NA,NA
A Time to Kill,John Grisham,4.07,692003,1989,1318,Thriller,Yes,7.5,127308,1996,Movie
It,Stephen King,4.24,772421,1986,1308,Thriller,Yes,6.95,621578,2017,Movie
The Elephant Tree,R.D. Ronald,4.12,54171,2010,1292,Thriller,No,NA,NA,NA,NA
The Turn of the Key,Ruth Ware,3.94,103183,2019,1276,Thriller,No,NA,NA,NA,NA
Lock Every Door,Riley Sager,3.93,57752,2019,1262,Thriller,No,NA,NA,NA,NA
The Zombie Room,R.D. Ronald,4.14,55479,2012,1251,Thriller,No,NA,NA,NA,NA
The Firm,John Grisham,4.02,552959,1991,1203,Thriller,Yes,6.8,113794,1993,Movie
The Pelican Brief,John Grisham,4.01,363356,1992,1202,Thriller,Yes,6.6,74508,1993,Movie
Sometimes I Lie,Alice Feeney,3.82,83808,2017,1199,Thriller,No,NA,NA,NA,NA
Verity,Colleen Hoover,4.34,127826,2018,1158,Thriller,No,NA,NA,NA,NA
Bird Box,Josh Malerman,4.02,132163,2014,1143,Thriller,Yes,6.6,262398,2018,Movie
The Kind Worth Killing,Peter  Swanson,4.03,81964,2015,1131,Thriller,No,NA,NA,NA,NA
The Hunger Games,Suzanne Collins,4.33,6218511,2008,30131,Young Adult,Yes,7.2,826629,2012,Movie
Catching Fire,Suzanne Collins,4.29,2429943,2009,25602,Young Adult,Yes,7.5,600197,2013,Movie
Mockingjay,Suzanne Collins,4.04,2277865,2010,24176,Young Adult,Yes,6.55,676831,2014,Movie
The Fault in Our Stars,John Green,4.21,3435800,2012,20484,Young Adult,Yes,7.7,334286,2014,Movie
Divergent,Veronica Roth,4.2,2825067,2011,20311,Young Adult,Yes,6.7,416461,2014,Movie
Twilight,Stephenie Meyer,3.59,4835716,2005,19084,Young Adult,Yes,5.2,413317,2008,Movie
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,6801692,1997,17932,Young Adult,Yes,7.6,618908,2001,Movie
Harry Potter and the Goblet of Fire,J.K. Rowling,4.56,2507462,2000,15521,Young Adult,Yes,7.7,526201,2005,Movie
Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,2723322,2007,15441,Young Adult,Yes,7.9,1196958,2010,Movie
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.57,2701079,1999,15432,Young Adult,Yes,7.9,528594,2004,Movie
Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,2632214,1998,15236,Young Adult,Yes,7.4,531340,2002,Movie
Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,2427330,2003,15230,Young Adult,Yes,7.5,489839,2007,Movie
Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,2361600,2005,15116,Young Adult,Yes,7.6,453949,2009,Movie
New Moon,Stephenie Meyer,3.53,1423570,2006,14319,Young Adult,Yes,4.7,258954,2009,Movie
Insurgent,Veronica Roth,4.03,1136425,2012,14011,Young Adult,Yes,6.2,211600,2015,Movie
Eclipse,Stephenie Meyer,3.69,1385850,2007,13786,Young Adult,Yes,5,221535,2010,Movie
City of Bones,Cassandra Clare,4.1,1575791,2007,13491,Young Adult,Yes,5.9,125652,2013,Movie
Breaking Dawn,Stephenie Meyer,3.69,1288200,2008,13078,Young Adult,Yes,5.2,442701,2011,Movie
Looking for Alaska,John Green,4.03,1083144,2005,12136,Young Adult,Yes,8.1,5853,2019,TV
The Perks of Being a Wallflower,Stephen Chbosky,4.2,1218446,1999,11937,Young Adult,Yes,8,448272,2012,Movie
Eleanor & Park,Rainbow Rowell,4.07,831726,2012,11613,Young Adult,No,NA,NA,NA,NA
The Giver,Lois Lowry,4.13,1727884,1993,11001,Young Adult,Yes,6.5,109757,2014,Movie
Allegiant,Veronica Roth,3.63,804231,2013,10682,Young Adult,Yes,5.7,104576,2016,Movie
Cinder,Marissa Meyer,4.14,654935,2012,10533,Young Adult,No,NA,NA,NA,NA
The Book Thief,Markus Zusak,4.37,1777231,2005,10240,Young Adult,Yes,7.6,124630,2013,Movie
The Maze Runner,James Dashner,4.02,1014101,2009,10143,Young Adult,Yes,6.8,406628,2014,Movie
Paper Towns,John Green,3.81,885920,2008,9947,Young Adult,Yes,6.3,92879,2015,Movie
The Lightning Thief,Rick Riordan,4.25,1920210,2005,9632,Young Adult,Yes,5.9,173161,2010,Movie
Thirteen Reasons Why,Jay Asher,3.93,753933,2007,9501,Young Adult,Yes,7.7,244380,2017,TV
Fangirl,Rainbow Rowell,4.06,553598,2013,9324,Young Adult,No,NA,NA,NA,NA
Miss Peregrine's Home for Peculiar Children,Ransom Riggs,3.91,945982,2011,9308,Young Adult,Yes,6.7,150930,2016,Movie
City of Ashes,Cassandra Clare,4.18,719748,2008,9291,Young Adult,Yes,6.6,50212,2016,TV
City of Glass,Cassandra Clare,4.32,772767,2009,8566,Young Adult,Yes,6.6,50212,2016,TV
The Hate U Give,Angie Thomas,4.52,450140,2017,8478,Young Adult,Yes,7.4,27885,2018,Movie
If I Stay,Gayle Forman,3.95,697173,2009,7964,Young Adult,Yes,6.7,113227,2014,Movie
Speak,Laurie Halse Anderson,4.02,477871,1999,7859,Young Adult,Yes,7.3,24376,2004,Movie
Matched,Ally Condie,3.66,638060,2010,7854,Young Adult,No,NA,NA,NA,NA
The Selection,Kiera Cass,4.14,844613,2012,7834,Young Adult,No,NA,NA,NA,NA
Uglies,Scott Westerfeld,3.86,548880,2005,7754,Young Adult,No,NA,NA,NA,NA
The Golden Compass,Philip Pullman,3.98,1253753,1995,7631,Young Adult,Yes,6.1,175967,2007,Movie
Clockwork Angel,Cassandra Clare,4.33,641081,2010,7433,Young Adult,No,NA,NA,NA,NA
Throne of Glass,Sarah J. Maas,4.21,559268,2012,7335,Young Adult,No,NA,NA,NA,NA
We Were Liars,E. Lockhart,3.84,438138,2014,7200,Young Adult,No,NA,NA,NA,NA
Daughter of Smoke & Bone,Laini Taylor,4.02,299143,2011,7123,Young Adult,No,NA,NA,NA,NA
The Raven Boys,Maggie Stiefvater,4.06,254143,2012,7089,Young Adult,No,NA,NA,NA,NA
Graceling,Kristin Cashore,4.08,373461,2008,7077,Young Adult,No,NA,NA,NA,NA
Shadow and Bone,Leigh Bardugo,4.01,281188,2012,6959,Young Adult,Yes,NA,NA,2020,TV
Scarlet,Marissa Meyer,4.28,298912,2013,6946,Young Adult,No,NA,NA,NA,NA
The Outsiders,S.E. Hinton,4.1,907791,1967,6924,Young Adult,Yes,7.1,72792,1983,Movie
Vampire Academy,Richelle Mead,4.13,535601,2007,6761,Young Adult,Yes,5.5,50910,2014,Movie
